,Unnamed: 0,Word,Meaning
0,1,a,"An adjective, commonly called the indefinite article, and signifying one or any, but less emphatically."
1,8,a-,"A, as a prefix to English words, is derived from various sources. (1) It frequently signifies on or in (from an, a forms of AS. on), denoting a state, as in afoot, on foot, abed, amiss, asleep, aground, aloft, away (AS. onweg), and analogically, ablaze, atremble, etc. (2) AS. of off, from, as in adown (AS. ofd/ne off the dun or hill). (3) AS. a- (Goth. us-, ur-, Ger. er-), usually giving an intensive force, and sometimes the sense of away, on, back, as in arise, abide, ago. (4) Old English y- or i- (corrupted from the AS. inseparable particle ge-, cognate with OHG. ga-, gi-, Goth. ga-), which, as a prefix, made no essential addition to the meaning, as in aware. (5) French a (L. ad to), as in abase, achieve. (6) L. a, ab, abs, from, as in avert. (7) Greek insep. prefix / without, or privative, not, as in abyss, atheist"
2,9,a 1,A registry mark given by underwriters (as at Lloyd's) to ships in first-class condition. Inferior grades are indicated by A 2 and A 3.
3,10,aam,"A Dutch and German measure of liquids, varying in different cities, being at Amsterdam about 41 wine gallons, at Antwerp 36 1/2, at Hamburg 38 1/4."
4,11,aard-vark,"An edentate mammal, of the genus Orycteropus, somewhat resembling a pig, common in some parts of Southern Africa. It burrows in the ground, and feeds entirely on ants, which it catches with its long, slimy tongue."
5,12,aard-wolf,"A carnivorous quadruped (Proteles Lalandii), of South Africa, resembling the fox and hyena. See Proteles."
6,13,aaronic,Alt. of Aaronical
7,14,aaronical,"Pertaining to Aaron, the first high priest of the Jews."
8,15,aaron's rod,"A rod with one serpent twined around it, thus differing from the caduceus of Mercury, which has two."
9,17,ab-,"A prefix in many words of Latin origin. It signifies from, away , separating, or departure, as in abduct, abstract, abscond. See A-(6)."
10,18,ab,"The fifth month of the Jewish year according to the ecclesiastical reckoning, the eleventh by the civil computation, coinciding nearly with August."
11,19,abaca,The Manila-hemp plant (Musa textilis)
12,20,abacinate,To blind by a red-hot metal plate held before the eyes.
13,21,abacination,The act of abacinating.
14,22,abaciscus,One of the tiles or squares of a tessellated pavement
15,23,abacist,One who uses an abacus in casting accounts
16,24,aback,Toward the back or rear
17,28,abactinal,Pertaining to the surface or end opposite to the mouth in a radiate animal
18,29,abaction,Stealing cattle on a large scale.
19,30,abactor,One who steals and drives away cattle or beasts by herds or droves.
20,31,abaculi,of Abaculus
21,32,abaculus,"A small tile of glass, marble, or other substance, of various colors, used in making ornamental patterns in mosaic pavements."
22,33,abacuses,of Abacus
23,34,abaci,of Abacus
24,35,abacus,"A table or tray strewn with sand, anciently used for drawing, calculating, etc."
25,40,abada,The rhinoceros.
26,41,abaddon,"The destroyer, or angel of the bottomless pit"
27,43,abaft,Behind
28,45,abaisance,Obeisance.
29,46,abaiser,Ivory black or animal charcoal.
30,47,abaist,Abashed
31,48,abalienate,To transfer the title of from one to another
32,51,abalienation,The act of abalienating
33,52,abalone,"A univalve mollusk of the genus Haliotis. The shell is lined with mother-of-pearl, and used for ornamental purposes"
34,53,aband,To abandon.
35,55,abandoned,of Abandon
36,56,abandoning,of Abandon
37,57,abandon,To cast or drive out
38,65,abandonedly,Unrestrainedly.
39,66,abandonee,One to whom anything is legally abandoned.
40,67,abandoner,One who abandons.
41,68,abandonment,"The act of abandoning, or the state of being abandoned"
42,73,abandum,Anything forfeited or confiscated.
43,74,abanet,See Abnet.
44,75,abanga,A West Indian palm
45,76,abannation,Alt. of Abannition
46,77,abannition,Banishment.
47,78,abarticulation,"Articulation, usually that kind of articulation which admits of free motion in the joint"
48,79,abased,of Abase
49,80,abasing,of Abase
50,81,abase,To lower or depress
51,85,abasedly,Abjectly
52,86,abasement,"The act of abasing, humbling, or bringing low"
53,87,abaser,"He who, or that which, abases."
54,88,abashed,of Abash
55,89,abashing,of Abash
56,90,abash,To destroy the self-possession of
57,91,abashedly,In an abashed manner.
58,92,abashment,The state of being abashed
59,93,abassi,Alt. of Abassis
60,94,abassis,"A silver coin of Persia, worth about twenty cents."
61,95,abatable,Capable of being abated
62,96,abated,of Abate
63,97,abating,of Abate
64,98,abate,To beat down
65,108,abatement,"The act of abating, or the state of being abated"
66,112,abater,"One who, or that which, abates."
